influencer_appearance,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
5,134,160,115,51,129,124,61,33,76,43,7,8,26,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,135,137,171,79,130,128,62,28,71,70,7,8,21,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,136,56,192,29,131,130,67,31,22,101,7,8,31,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,137,138,130,54,134,138,74,30,52,52,9,10,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,138,170,104,55,144,112,66,24,75,37,8,8,31,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,139,8,146,2,131,131,67,27,6,76,1,6,98,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,140,218,57,45,143,127,73,29,111,29,6,9,20,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,141,102,140,41,106,131,54,32,35,64,9,9,49,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,142,14,181,2,145,132,74,33,7,78,1,8,57,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,143,58,163,34,124,123,64,29,16,54,18,10,63,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,144,77,157,32,107,127,53,24,31,73,10,8,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,145,13,190,3,130,140,74,35,6,61,1,14,50,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,146,68,171,30,127,144,73,30,31,71,9,10,41,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,147,43,184,30,127,128,59,27,16,67,3,6,53,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,148,167,107,59,123,131,62,30,84,47,9,8,35,250,5,5,5,0.3,0.3,0.6,0.5,0.5
5,149,121,162,60,129,128,71,34,55,64,17,12,27,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,150,55,153,15,128,125,66,33,13,46,19,13,57,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,151,122,169,77,119,120,58,30,59,67,5,7,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,152,121,148,52,127,124,69,28,49,60,8,9,33,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,153,64,187,45,141,131,76,29,27,84,6,8,44,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,154,193,57,28,142,133,78,33,60,26,5,8,28,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,155,166,130,78,132,130,68,28,85,65,7,8,32,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,156,175,101,50,133,136,71,24,87,49,8,7,24,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,157,81,160,29,112,137,64,24,32,68,6,6,38,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,158,69,189,38,120,128,64,29,42,83,7,9,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,159,112,137,54,120,114,55,30,38,44,7,10,55,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,160,141,91,24,141,107,60,27,47,32,11,6,42,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,161,82,187,47,121,131,68,34,39,83,7,7,28,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,162,124,92,17,122,128,66,36,48,39,10,11,51,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,163,23,124,2,115,127,67,30,10,42,2,12,105,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,164,187,156,114,142,125,73,23,104,90,6,6,21,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,165,128,117,37,131,126,62,26,45,47,6,10,42,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,166,187,79,62,132,135,72,32,72,35,7,10,46,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,167,192,60,32,131,119,70,28,54,25,11,9,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,168,118,158,61,118,123,62,28,50,82,7,7,35,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,169,191,67,44,131,124,70,28,85,34,8,7,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,170,192,66,31,124,124,53,48,73,22,12,14,23,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,171,136,110,37,120,124,55,26,57,34,7,13,41,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,172,120,91,19,120,127,61,31,44,29,9,14,58,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,173,191,15,6,129,120,71,24,83,10,7,3,50,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,174,173,60,31,134,121,62,26,74,31,10,12,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,175,78,176,52,128,128,64,30,44,63,13,10,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,176,210,11,3,133,130,71,25,83,8,6,2,32,250,5,5,5,0.3,0.3,0.6,0.5,0.5
